frame_index,num_person_detections,num_unique_track_ids,track_ids
0,7,7,"1,2,3,4,5,6,7"
1,6,6,"1,2,3,4,5,6"
2,7,7,"1,2,3,4,5,6,7"
3,6,6,"1,2,3,4,5,6"
4,6,6,"1,2,3,4,5,6"
5,6,6,"1,2,3,4,5,6"
6,6,6,"1,2,3,4,5,6"
7,6,6,"1,2,3,4,5,6"
8,6,6,"1,2,3,4,5,6"
9,6,6,"1,2,3,4,5,6"
10,6,6,"1,2,3,4,5,6"
11,6,6,"1,2,3,4,5,6"
12,6,6,"1,2,3,4,5,6"
13,6,6,"1,2,3,4,5,6"
14,6,6,"1,2,3,4,5,6"
15,6,6,"1,2,3,4,5,6"
16,6,6,"1,2,3,4,5,6"
17,6,6,"1,2,3,4,5,6"
18,6,6,"1,2,3,4,5,6"
19,6,6,"1,2,3,4,5,6"
20,6,6,"1,2,3,4,5,6"
21,6,6,"1,2,3,4,5,6"
22,6,6,"1,2,3,4,5,6"
23,6,6,"1,2,3,4,5,6"
24,6,6,"1,2,3,4,5,6"
25,6,6,"1,2,3,4,5,6"
26,6,6,"1,2,3,4,5,6"
27,6,6,"1,2,3,4,5,6"
28,6,6,"1,2,3,4,5,6"
29,6,6,"1,2,3,4,5,6"
30,6,6,"1,2,3,4,5,6"
31,6,6,"1,2,3,4,5,6"
32,6,6,"1,2,3,4,5,6"
33,6,6,"1,2,3,4,5,6"
34,6,6,"1,2,3,4,5,6"
35,6,6,"1,2,3,4,5,6"
36,6,6,"1,2,3,4,5,6"
37,6,6,"1,2,3,4,5,6"
38,6,6,"1,2,3,4,5,6"
39,5,5,"2,3,4,5,6"
40,5,5,"2,3,4,5,6"
41,5,5,"2,3,4,5,6"
42,5,5,"2,3,4,5,6"
43,5,5,"2,3,4,5,6"
44,5,5,"2,3,4,5,6"
45,5,5,"2,3,4,5,6"
46,5,5,"2,3,4,5,6"
47,5,5,"2,3,4,5,6"
48,5,5,"2,3,4,5,6"
49,5,5,"2,3,4,5,6"
50,5,5,"2,3,4,5,6"
51,5,5,"2,3,4,5,6"
52,5,5,"2,3,4,5,6"
53,5,5,"2,3,4,5,6"
54,5,5,"2,3,4,5,6"
55,5,5,"2,3,4,5,6"
56,5,5,"2,3,4,5,6"
57,5,5,"2,3,4,5,6"
58,5,5,"2,3,4,5,6"
59,5,5,"2,3,4,5,6"
60,5,5,"2,3,4,5,6"
61,5,5,"2,3,4,5,6"
62,6,6,"2,3,4,5,6,13"
63,6,6,"2,3,4,5,6,13"
64,5,5,"2,4,5,6,13"
65,5,5,"2,4,5,6,13"
66,5,5,"2,4,5,6,13"
67,5,5,"2,4,5,6,13"
68,5,5,"2,4,5,6,13"
69,5,5,"2,4,5,6,13"
70,4,4,"2,4,5,6"
71,4,4,"2,4,5,6"
72,4,4,"2,4,5,6"
73,4,4,"2,4,5,6"
74,4,4,"2,4,5,6"
75,4,4,"2,4,5,6"
76,4,4,"2,4,5,6"
77,4,4,"2,4,5,6"
78,5,5,"2,4,5,6,21"
79,6,6,"2,3,4,5,6,21"
80,5,5,"2,3,5,6,21"
81,5,5,"2,3,5,6,21"
82,5,5,"2,3,5,6,21"
83,6,6,"2,3,5,6,21,25"
84,6,6,"2,3,5,6,21,25"
85,6,6,"2,3,4,5,6,21"
86,6,6,"2,3,4,5,6,21"
87,6,6,"2,3,4,5,6,21"
88,5,5,"2,3,4,5,6"
89,6,6,"2,3,4,5,6,21"
90,6,6,"2,3,4,5,6,21"
91,5,5,"2,3,4,5,6"
92,5,5,"2,3,4,5,6"
93,5,5,"2,3,4,5,6"
94,5,5,"2,3,4,5,6"
95,5,5,"2,3,4,5,6"
96,6,6,"2,3,4,5,6,21"
97,5,5,"2,3,4,5,6"
98,6,6,"2,3,4,5,6,21"
99,6,6,"2,3,4,5,6,21"
100,5,5,"2,3,4,5,6"
101,5,5,"2,3,4,5,6"
102,5,5,"2,3,4,5,6"
103,5,5,"2,3,4,5,6"
104,5,5,"2,3,4,5,6"
105,4,4,"2,3,4,5"
106,3,3,"2,3,4"
107,3,3,"2,3,4"
108,3,3,"2,3,4"
109,4,4,"2,3,4,21"
110,4,4,"2,3,4,21"
111,3,3,"2,3,21"
112,3,3,"2,3,21"
113,3,3,"2,3,21"
114,4,4,"2,3,21,46"
115,3,3,"2,3,21"
116,2,2,"2,3"
